date,open,high,low,close,volume,timestamp
2019-10-03,3870.0000,3890.0000,3810.0000,3810.0000,177625500,1570035600000
2019-10-02,4050.0000,4090.0000,3920.0000,3950.0000,126757400,1569949200000
2019-10-01,4120.0000,4130.0000,4070.0000,4070.0000,79550900,1569862800000
2019-09-30,4200.0000,4200.0000,4110.0000,4120.0000,76345500,1569776400000
2019-09-27,4210.0000,4210.0000,4160.0000,4180.0000,57666400,1569517200000
2019-09-26,4110.0000,4190.0000,4100.0000,4190.0000,63306100,1569430800000
2019-09-25,4070.0000,4120.0000,4020.0000,4080.0000,83155300,1569344400000
2019-09-24,4160.0000,4160.0000,4140.0000,4150.0000,5895900,1569258000000
2019-09-23,4160.0000,4200.0000,4160.0000,4180.0000,84900300,1569171600000
2019-09-20,4200.0000,4220.0000,4130.0000,4160.0000,217504200,1568912400000
2019-09-19,4200.0000,4230.0000,4200.0000,4220.0000,92108100,1568826000000
2019-09-18,4240.0000,4260.0000,4210.0000,4240.0000,76406800,1568739600000
2019-09-17,4160.0000,4250.0000,4130.0000,4250.0000,107125600,1568653200000
2019-09-16,4290.0000,4290.0000,4100.0000,4190.0000,132616600,1568566800000
2019-09-13,4320.0000,4320.0000,4280.0000,4310.0000,56092800,1568307600000
